ELSI Export,,,,,,,,,,,
,,,,,,,,,,,
National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/,,,,,,,,,,,
,,,,,,,,,,,
This is a Public School based table with the following filters applied: State(s) (All Years): OHIO,,,,,,,,,,,
,,,,,,,,,,,
School Name,State Name [Public School] Latest available year,Agency Name [Public School] 2018-19,County Name [Public School] 2018-19,Location ZIP [Public School] 2018-19,Location City [Public School] 2018-19,Total Students All Grades (Excludes AE) [Public School] 2018-19,Free Lunch Eligible [Public School] 2018-19,Reduced-price Lunch Eligible Students [Public School] 2018-19,Free and Reduced Lunch Students [Public School] 2018-19,Full-Time Equivalent (FTE) Teachers [Public School] 2018-19,Pupil/Teacher Ratio [Public School] 2018-19
SUMMIT ACADEMY TRANSITION HIGH SCHOOL-COLUMBUS,Ohio,Summit Academy Transition High School-Columbus,Franklin County,43207,Columbus,63,–,–,–,5,12.6
SUMMIT ACADEMY-YOUNGSTOWN,Ohio,Summit Academy-Youngstown,Mahoning County,44509,Youngstown,217,–,–,–,18,12.06
SUMMIT ACDY COMM SCHL FOR ALTERNATIVE LEARNERS OF MIDDLETOWN,Ohio,Summit Acdy Comm Schl for Alternative Learners of Middletown,Butler County,45044,Middletown,100,–,–,–,5.5,18.18
SUMMIT ELEMENTARY SCHOOL,Ohio,Forest Hills Local,Hamilton County,45255,Cincinnati,620,80,16,96,31.5,19.68
SUMMIT ROAD ELEMENTARY,Ohio,Reynoldsburg City,Licking County,43068,Reynoldsburg,501,112,37,149,19,26.37
SUNBEAM,Ohio,Cleveland Municipal,Cuyahoga County,44120,Cleveland,449,–,–,–,29,15.48
SUNBRIDGE SCHOOLS,Ohio,SunBridge Schools,Lucas County,43615,Toledo,326,–,–,–,21,15.52
SUNVIEW ELEMENTARY SCHOOL,Ohio,South Euclid-Lyndhurst City,Cuyahoga County,44124,Lyndhurst,306,91,15,106,19.85,15.42
SUPERIOR INTERMEDIATE SCHOOL,Ohio,Ashtabula Area City,Ashtabula County,44004,Ashtabula,552,–,–,–,26,21.23
SURRARRER ELEMENTARY SCHOOL,Ohio,Strongsville City,Cuyahoga County,44149,Strongsville,349,38,9,47,22.7,15.37
SUTTER PARK PRESCHOOL,Ohio,Worthington City,Franklin County,43065,Powell,292,–,–,–,17,17.18
SWANTON EARLY EDUCATION CENTER,Ohio,Swanton Local,Fulton County,43558,Swanton,0,–,–,–,0,†
SWANTON ELEMENTARY SCHOOL,Ohio,Swanton Local,Fulton County,43558,Swanton,431,113,30,143,24.5,17.59
SWANTON HIGH SCHOOL,Ohio,Swanton Local,Fulton County,43558,Swanton,402,119,31,150,22,18.27
SWANTON MIDDLE SCHOOL,Ohio,Swanton Local,Fulton County,43558,Swanton,402,145,37,182,25,16.08
SWISS HILLS CAREER CENTER,Ohio,Switzerland of Ohio Local,Monroe County,43793,Woodsfield,149,68,18,86,18.2,8.19
SYCAMORE CREEK ELEMENTARY SCHOOL,Ohio,Pickerington Local,Fairfield County,43147,Pickerington,654,72,14,86,28.91,22.62
SYCAMORE HIGH SCHOOL,Ohio,Sycamore Community City,Hamilton County,45242,Cincinnati,1675,169,42,211,116.32,14.4
SYCAMORE JUNIOR HIGH SCHOOL,Ohio,Sycamore Community City,Hamilton County,45242,Cincinnati,809,87,24,111,55.57,14.56
SYLVAN ELEMENTARY SCHOOL,Ohio,Sylvania Schools,Lucas County,43560,Sylvania,390,95,11,106,21.4,18.22
SYLVANIA ARBOR HILLS JUNIOR HIGH SCHOOL,Ohio,Sylvania Schools,Lucas County,43560,Sylvania,554,155,30,185,28,19.79
SYLVANIA MCCORD JUNIOR HIGH SCHOOL,Ohio,Sylvania Schools,Lucas County,43560,Sylvania,654,77,16,93,33,19.82
SYLVANIA NORTHVIEW HIGH SCHOOL,Ohio,Sylvania Schools,Lucas County,43560,Sylvania,1353,190,36,226,75.67,17.88
SYLVANIA SOUTHVIEW HIGH SCHOOL,Ohio,Sylvania Schools,Lucas County,43560,Sylvania,1053,190,32,222,61.84,17.03
SYLVANIA TIMBERSTONE JUNIOR HIGH SCHOOL,Ohio,Sylvania Schools,Lucas County,43560,Sylvania,613,92,26,118,29,21.14
SYMMES ELEMENTARY SCHOOL,Ohio,Sycamore Community City,Hamilton County,45140,Loveland,497,88,15,103,29.5,16.85
SYMMES VALLEY ELEMENTARY SCHOOL,Ohio,Symmes Valley Local,Lawrence County,45696,Willow Wood,539,–,–,–,32.75,16.46
SYMMES VALLEY HIGH SCHOOL,Ohio,Symmes Valley Local,Lawrence County,45696,Willow Wood,224,–,–,–,18.83,11.9
T C KNAPP ELEMENTARY SCHOOL,Ohio,Perry Local,Stark County,44706,Canton,464,114,22,136,24.49,18.95
T.C.P. WORLD ACADEMY,Ohio,T.C.P. World Academy,Hamilton County,45213,Cincinnati,513,321,64,385,29,17.69
T2 HONORS ACADEMY,OHIO,T2 Honors Academy,Cuyahoga County,44128,Warrensville Heights,111,–,–,–,8,13.88
TAFT ELEMENTARY SCHOOL,Ohio,Youngstown City,Mahoning County,44502,Youngstown,312,–,–,–,24,13
TAFT INTERMEDIATE SCHOOL,Ohio,Ashland City,Ashland County,44805,Ashland,491,186,39,225,17.98,27.31
TALAWANDA HIGH SCHOOL,Ohio,Talawanda City,Butler County,45056,Oxford,957,215,40,255,55,17.4
TALAWANDA MIDDLE SCHOOL,Ohio,Talawanda City,Butler County,45056,Oxford,705,178,28,206,47.65,14.8
TALLMADGE ELEMENTARY SCHOOL,Ohio,Tallmadge City,Summit County,44278,Tallmadge,547,124,15,139,22.34,24.49
TALLMADGE ELEMENTARY SCHOOL,Ohio,Lancaster City,Fairfield County,43130,Lancaster,576,355,32,387,25.8,22.33
TALLMADGE HIGH SCHOOL,Ohio,Tallmadge City,Summit County,44278,Tallmadge,774,173,33,206,52.43,14.76
TALLMADGE MIDDLE SCHOOL,Ohio,Tallmadge City,Summit County,44278,Tallmadge,596,119,23,142,34.23,17.41
TARHE TRAILS ELEMENTARY SCHOOL,Ohio,Lancaster City,Fairfield County,43130,Lancaster,603,–,–,–,27.8,21.69
TAYLOR ELEMENTARY SCHOOL,Ohio,Northwest Local,Hamilton County,45251,Cincinnati,908,–,–,–,44.44,20.43
TAYLOR HIGH SCHOOL,Ohio,Three Rivers Local,Hamilton County,45002,Cleves,1030,353,60,413,41.5,24.82
TAYLOR ROAD ELEMENTARY SCHOOL,Ohio,Reynoldsburg City,Licking County,43068,Reynoldsburg,472,165,32,197,22.5,20.98
TEAYS VALLEY EAST MIDDLE SCHOOL,Ohio,Teays Valley Local,Pickaway County,43103,Ashville,467,148,14,162,24.83,18.81
TEAYS VALLEY HIGH SCHOOL,Ohio,Teays Valley Local,Pickaway County,43103,Ashville,1165,248,62,310,60,19.42
TEAYS VALLEY WEST MIDDLE SCHOOL,Ohio,Teays Valley Local,Pickaway County,43116,Commercial Point,490,90,18,108,25.33,19.34
TECHNOLOGY CENTER,Ohio,Vanguard-Sentinel Career & Technology Centers,Sandusky County,43420,Fremont,0,–,–,–,12.5,0
TECUMSEH  MIDDLE SCHOOL,Ohio,Tecumseh Local,Clark County,45344,New Carlisle,651,335,74,409,41,15.88
TECUMSEH ELEMENTARY SCHOOL,Ohio,Xenia Community City,Greene County,45385,Xenia,303,–,–,–,16,18.94
TECUMSEH HIGH SCHOOL,Ohio,Tecumseh Local,Clark County,45344,New Carlisle,909,396,90,486,53,17.15
TERRACE PARK ELEMENTARY SCHOOL,Ohio,Mariemont City,Hamilton County,45174,Terrace Park,296,20,0,20,17.75,16.68
THE ACADEMY FOR URBAN SCHOLARS,Ohio,The Academy for Urban Scholars,Franklin County,43203,Columbus,333,–,–,–,7,47.57
THE AUTISM ACADEMY OF LEARNING,Ohio,The Autism Academy Of Learning,Lucas County,43607,Toledo,59,–,–,–,9,6.56
THE BESSIE SHERROD PRICE PREPARATORY ACADEMY,Ohio,Renaissance Academy,Franklin County,43227,Columbus,131,–,–,–,11,11.91
THE BOSTIC HEAD START CENTER,Ohio,South-Western City,Franklin County,43123,Grove City,195,–,–,–,0,†
THE BRIDGEPORT SCHOOL DISTRICT - ELEMENTARY,Ohio,Bridgeport Exempted Village,Belmont County,43912,Bridgeport,370,–,–,–,17,21.76
THE BRIDGEPORT SCHOOL DISTRICT - HIGH SCHOOL,Ohio,Bridgeport Exempted Village,Belmont County,43912,Bridgeport,191,164,24,188,15,12.73
THE BRIDGEPORT SCHOOL DISTRICT - MIDDLE SCHOOL,Ohio,Bridgeport Exempted Village,Belmont County,43912,Bridgeport,215,–,–,–,14,15.36
THE BRILLIANCE SCHOOL,Ohio,Hope Academy for Autism,Trumbull County,44484,Warren,50,–,–,–,0,†
THE EARLY LEARNING ACADEMY,Ohio,Sandusky City,Erie County,44870,Sandusky,416,–,–,–,21.18,19.64
THE PLAINS INTERMEDIATE SCHOOL,Ohio,Athens City,Athens County,45780,The Plains,419,266,43,309,25,16.76
THE RICHLAND SCHOOL OF ACADEMIC ARTS,Ohio,The Richland School of Academic Arts,Richland County,44906,Ontario,318,160,18,178,18,17.67
THE SANDUSKY INTERMEDIATE SCHOOL,Ohio,Sandusky City,Erie County,44870,Sandusky,381,–,–,–,22.3,17.09
THE SANDUSKY PRIMARY SCHOOL,Ohio,Sandusky City,Erie County,44870,Sandusky,361,–,–,–,24.7,14.62
THE SCHOOL OF ONE,Ohio,Cleveland Municipal,Cuyahoga County,44111,Cleveland,198,–,–,–,9,22
THEODORE ROOSEVELT HIGH SCHOOL,Ohio,Kent City,Portage County,44240,Kent,1308,301,43,344,79.65,16.42
THOMAS EWING JUNIOR HIGH SCHOOL,Ohio,Lancaster City,Fairfield County,43130,Lancaster,725,331,47,378,30.1,24.09
THOMAS JEFFERSON SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44102,Cleveland,522,–,–,–,40,13.05
THOMAS WORTHINGTON HIGH SCHOOL,Ohio,Worthington City,Franklin County,43085,Worthington,1747,369,77,446,98.65,17.71
THOREAU PARK ELEMENTARY SCHOOL,Ohio,Parma City,Cuyahoga County,44129,Parma,376,199,20,219,22,17.09
THORNVILLE ELEMENTARY SCHOOL,Ohio,Northern Local,Perry County,43076,Thornville,404,93,13,106,22.7,17.8
THREE RIVERS ELEMENTARY,Ohio,Three Rivers Local,Hamilton County,45002,Cleves,1165,326,48,374,54.5,21.38
THURGOOD MARSHALL HIGH SCHOOL,Ohio,Dayton City,Montgomery County,45417,Dayton,566,–,–,–,31,18.26
TIFFIN MIDDLE SCHOOL,Ohio,Tiffin City,Seneca County,44883,Tiffin,634,212,65,277,35.14,18.04
TIMBERLANE LEARNING CENTER,Ohio,Northridge Local,Montgomery County,45414,Dayton,166,–,–,–,11,15.09
TIMMONS ELEMENTARY SCHOOL,Ohio,Kenston Local,Geauga County,44023,Chagrin Falls,725,67,12,79,43,16.86
TINORA ELEMENTARY SCHOOL,Ohio,Northeastern Local,Defiance County,43512,Defiance,410,72,37,109,25,16.4
TINORA HIGH SCHOOL,Ohio,Northeastern Local,Defiance County,43512,Defiance,319,80,27,107,18,17.72
TINORA MIDDLE SCHOOL,Ohio,Northeastern Local,Defiance County,43512,Defiance,176,–,–,–,10.75,16.37
TIPPECANOE HIGH SCHOOL,Ohio,Tipp City Exempted Village,Miami County,45371,Tipp City,782,88,30,118,45.09,17.34
TIPPECANOE MIDDLE SCHOOL,Ohio,Tipp City Exempted Village,Miami County,45371,Tipp City,619,69,29,98,35,17.69
TOLEDO EARLY COLLEGE HIGH SCHOOL,Ohio,Toledo City,Lucas County,43607,Toledo,369,114,36,150,18,20.5
TOLEDO PREPARATORY AND FITNESS ACADEMY,Ohio,Toledo Preparatory and Fitness Academy,Lucas County,43607,Toledo,196,–,–,–,12.71,15.42
TOLEDO SCHOOL FOR THE ARTS,Ohio,Toledo School For The Arts,Lucas County,43604,Toledo,695,162,63,225,51.53,13.49
TOLEDO SMART ELEMENTARY SCHOOL,OHIO,Toledo SMART Elementary School,Lucas County,43609,Toledo,195,–,–,–,14,13.93
TOLEDO TECHNOLOGY ACADEMY HIGH SCHOOL,Ohio,Toledo City,Lucas County,43613,Toledo,336,97,35,132,21,16
TOLL GATE ELEMENTARY,Ohio,Pickerington Local,Fairfield County,43147,Pickerington,699,75,12,87,36.5,19.15
TOLL GATE MIDDLE SCHOOL,Ohio,Pickerington Local,Fairfield County,43147,Pickerington,488,84,16,100,31.95,15.27
TOLLES CAREER & TECHNICAL CENTER,Ohio,Tolles Career & Technical Center,Madison County,43064,Plain City,0,–,–,–,54,0
TOMORROW CENTER,Ohio,Tomorrow Center,Morrow County,43315,Cardington,112,–,–,–,7,16
TONI WOFFORD MORRISON ES,Ohio,Lorain City,Lorain County,44052,Lorain,324,–,–,–,19.2,16.88
TORONTO ELEMENTARY SCHOOL,Ohio,Toronto City,Jefferson County,43964,Toronto,501,275,34,309,22.75,22.02
TORONTO JR. / SR. HIGH SCHOOL,Ohio,Toronto City,Jefferson County,43964,Toronto,392,196,26,222,23.93,16.38
TOTH ELEMENTARY SCHOOL,Ohio,Perrysburg Exempted Village,Wood County,43551,Perrysburg,494,36,18,54,22.5,21.96
TOWER HEIGHTS MIDDLE SCHOOL,Ohio,Centerville City,Montgomery County,45459,Centerville,559,60,13,73,33.83,16.52
TOWNSEND NORTH COMMUNITY SCHOOL,Ohio,Townsend North Community School,Erie County,44824,Castalia,1457,–,–,–,37,39.38
TOWPATH TRAIL HIGH SCHOOL,Ohio,Towpath Trail High School,Summit County,44303,Akron,439,–,–,–,18.63,23.56
TPS MOSAIC MINISTRIES PRESCHOOL,OHIO,Toledo City,Lucas County,43609,Toledo,33,–,–,–,0,†
TREBEIN ELEMENTARY SCHOOL,Ohio,Beavercreek City,Greene County,45385,Xenia,816,22,7,29,43.57,18.73
TRECA DIGITAL ACADEMY,Ohio,TRECA Digital Academy,Marion County,43302,Marion,2387,–,–,–,53,45.04
TREMONT ELEMENTARY SCHOOL,Ohio,Upper Arlington City,Franklin County,43221,Upper Arlington,665,22,5,27,35.1,18.95
TREMONT MONTESSORI SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44113,Cleveland,475,–,–,–,26.01,18.26
TREVITT ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43203,Columbus,210,–,–,–,14,15
TRI-COUNTY CAREER CENTER BUILDING,Ohio,Tri-County Career Center,Athens County,45764,Nelsonville,0,–,–,–,39,0
TRI-COUNTY NORTH ELEMENTARY SCHOOL,Ohio,Tri-County North Local,Preble County,45338,Lewisburg,295,–,–,–,17.5,16.86
TRI-COUNTY NORTH HIGH SCHOOL,Ohio,Tri-County North Local,Preble County,45338,Lewisburg,210,–,–,–,10.09,20.81
TRI-COUNTY NORTH MIDDLE SCHOOL,Ohio,Tri-County North Local,Preble County,45338,Lewisburg,280,195,82,277,12.74,21.98
TRI-RIVERS CAREER CENTER,Ohio,Tri-Rivers,Marion County,43302,Marion,0,–,–,–,31.5,0
TRI-STATE STEM+M EARLY COLLEGE HIGH SCHOOL,OHIO,Tri-State STEM+M Early College High School,Lawrence County,45680,South Point,72,–,–,–,4.96,14.52
TRI-VALLEY HIGH SCHOOL,Ohio,Tri-Valley Local,Muskingum County,43821,Dresden,830,266,46,312,39.83,20.84
TRI-VALLEY MIDDLE SCHOOL,Ohio,Tri-Valley Local,Muskingum County,43821,Dresden,471,168,24,192,21.25,22.16
TRI-VILLAGE ELEMENTARY SCHOOL,Ohio,Tri-Village Local,Darke County,45346,New Madison,473,135,36,171,24,19.71
TRI-VILLAGE HIGH SCHOOL,Ohio,Tri-Village Local,Darke County,45346,New Madison,354,80,34,114,22.73,15.57
TRIAD ELEMENTARY SCHOOL,Ohio,Triad Local,Champaign County,43060,North Lewisburg,296,120,24,144,17.37,17.04
TRIAD HIGH SCHOOL,Ohio,Triad Local,Champaign County,43060,North Lewisburg,280,70,11,81,15.3,18.3
TRIAD MIDDLE SCHOOL,Ohio,Triad Local,Champaign County,43060,North Lewisburg,263,88,16,104,14.65,17.95
TRIMBLE ELEMENTARY SCHOOL,Ohio,Trimble Local,Athens County,45732,Glouster,352,–,–,–,30.5,11.54
TRIMBLE HIGH SCHOOL,Ohio,Trimble Local,Athens County,45732,Glouster,214,–,–,–,18,11.89
TRIMBLE JUNIOR HIGH,Ohio,Trimble Local,Athens County,45732,Glouster,204,–,–,–,16.5,12.36
TRIWAY HIGH SCHOOL,Ohio,Triway Local,Wayne County,44691,Wooster,438,89,34,123,32,13.69
TRIWAY JUNIOR HIGH SCHOOL,Ohio,Triway Local,Wayne County,44691,Wooster,264,61,24,85,17,15.53
TROJAN ACADEMY BLENDED,OHIO,Findlay City,Hancock County,45840,Findlay,53,19,6,25,2,26.5
TROTWOOD PREPARATORY & FITNESS ACADEMY,Ohio,Trotwood Preparatory & Fitness Academy,Montgomery County,45426,Trotwood,324,–,–,–,17.83,18.17
TROTWOOD-MADISON EARLY LEARNING CENTER,Ohio,Trotwood-Madison City,Montgomery County,45426,Trotwood,467,–,–,–,24,19.46
TROTWOOD-MADISON HIGH SCHOOL,Ohio,Trotwood-Madison City,Montgomery County,45426,Trotwood,768,–,–,–,42,18.29
TROTWOOD-MADISON MIDDLE SCHOOL,Ohio,Trotwood-Madison City,Montgomery County,45426,Trotwood,564,–,–,–,32,17.63
TROY HIGH SCHOOL,Ohio,Troy City,Miami County,45373,Troy,1201,337,57,394,62.8,19.12
TROY INTERMEDIATE ELEMENTARY SCHOOL,Ohio,Avon Lake City,Lorain County,44012,Avon Lake,591,57,17,74,31.25,18.91
TROY JUNIOR HIGH SCHOOL,Ohio,Troy City,Miami County,45373,Troy,649,168,48,216,40.92,15.86
TRUMBULL CAREER & TECH  CENTER,Ohio,Trumbull Career & Tech Ctr,Trumbull County,44483,Warren,0,–,–,–,72,0
TURPIN HIGH SCHOOL,Ohio,Forest Hills Local,Hamilton County,45244,Cincinnati,1116,80,10,90,64.74,17.24
TUSCARAWAS MIDDLE SCHOOL,Ohio,Indian Valley Local,Tuscarawas County,44682,Tuscarawas,456,125,46,171,24.75,18.42
TUSCARAWAS VALLEY HIGH SCHOOL,Ohio,Tuscarawas Valley Local,Tuscarawas County,44656,Zoarville,376,97,18,115,18.55,20.27
TUSCARAWAS VALLEY INTERMEDIATE,Ohio,Tuscarawas Valley Local,Tuscarawas County,44612,Bolivar,300,119,23,142,15,20
TUSCARAWAS VALLEY MIDDLE SCHOOL,OHIO,Tuscarawas Valley Local,Tuscarawas County,44656,Zoarville,417,149,29,178,25.2,16.55
TUSCARAWAS VALLEY PRIMARY,Ohio,Tuscarawas Valley Local,Tuscarawas County,44656,Mineral City,229,98,13,111,9,25.44
TUSLAW ELEMENTARY SCHOOL,Ohio,Tuslaw Local,Stark County,44647,Massillon,508,124,48,172,22,23.09
TUSLAW HIGH SCHOOL,Ohio,Tuslaw Local,Stark County,44647,Massillon,389,91,36,127,23.95,16.24
TUSLAW MIDDLE SCHOOL,Ohio,Tuslaw Local,Stark County,44647,Massillon,414,101,46,147,18.15,22.81
TUSSING ELEMENTARY SCHOOL,Ohio,Pickerington Local,Fairfield County,43068,Reynoldsburg,612,274,51,325,26.6,23.01
TWIN OAK ELEMENTARY SCHOOL,Ohio,Mount Vernon City,Knox County,43050,Mount Vernon,380,156,25,181,19.3,19.69
TWIN VALLEY SOUTH ELEMENTARY SCHOOL,Ohio,Twin Valley Community Local,Preble County,45381,West Alexandria,444,–,–,–,25.17,17.64
TWIN VALLEY SOUTH HIGH SCHOOL,Ohio,Twin Valley Community Local,Preble County,45381,West Alexandria,250,209,38,247,20.11,12.43
TWIN VALLEY SOUTH MIDDLE SCHOOL,Ohio,Twin Valley Community Local,Preble County,45381,West Alexandria,128,–,–,–,9.14,14
TWINSBURG HIGH SCHOOL,Ohio,Twinsburg City,Summit County,44087,Twinsburg,1309,166,46,212,60.5,21.64
TYLER RUN ELEMENTARY SCHOOL,Ohio,Olentangy Local,Delaware County,43065,Powell,680,9,0,9,33.6,20.24
U S GRANT,Ohio,U S Grant,Clermont County,45106,Bethel,0,–,–,–,5,0
ULYSSES S. GRANT MIDDLE SCHOOL,Ohio,Marion City,Marion County,43302,Marion,894,–,–,–,59.26,15.09
UNION ELEMENTARY SCHOOL,Ohio,Northmont City,Montgomery County,45322,Union,470,153,52,205,21,22.38
UNION ELEMENTARY SCHOOL,Ohio,Upper Sandusky Exempted Village,Wyandot County,43351,Upper Sandusky,266,89,20,109,14.79,17.99
UNION ELEMENTARY SCHOOL,Ohio,River View Local,Coshocton County,43844,Warsaw,171,84,22,106,9.05,18.9
UNION ELEMENTARY SCHOOL,Ohio,Lakota Local,Butler County,45069,West Chester,609,138,16,154,28,21.75
UNION FURNACE ELEMENTARY SCHOOL,Ohio,Logan-Hocking Local,Hocking County,43158,Union Furnace,215,–,–,–,15.32,14.03
UNION LOCAL ELEMENTARY SCHOOL,Ohio,Union Local,Belmont County,43718,Belmont,726,239,51,290,49,14.82
UNION LOCAL HIGH SCHOOL,Ohio,Union Local,Belmont County,43718,Belmont,380,110,40,150,36.14,10.51
UNION LOCAL MIDDLE SCHOOL,Ohio,Union Local,Belmont County,43718,Belmont,348,73,36,109,20,17.4
UNIOTO ELEMENTARY,Ohio,Union-Scioto Local,Ross County,45601,Chillicothe,1095,460,76,536,59,18.56
UNIOTO HIGH SCHOOL,Ohio,Union-Scioto Local,Ross County,45601,Chillicothe,541,377,80,457,26,20.81
UNIOTO MIDDLE SCHOOL,Ohio,Union-Scioto Local,Ross County,45601,Chillicothe,523,–,–,–,18,29.06
UNITED ELEMENTARY SCHOOL,Ohio,United Local,Columbiana County,44423,Hanoverton,593,191,33,224,32,18.53
UNITED HIGH SCHOOL,Ohio,United Local,Columbiana County,44423,Hanoverton,550,135,41,176,37.5,14.67
UNITED PREPARATORY ACADEMY,Ohio,United Preparatory Academy,Franklin County,43215,Columbus,301,–,–,–,20,15.05
UNITED PREPARATORY ACADEMY EAST,OHIO,United Preparatory Academy East,Franklin County,43205,Columbus,99,–,–,–,7,14.14
UNITY ELEMENTARY SCHOOL,Ohio,Lima City,Allen County,45804,Lima,220,–,–,–,17,12.94
UNIVERSITY ACADEMY,Ohio,University Academy,Summit County,44306,Akron,235,–,–,–,15,15.67
UNIVERSITY OF CLEVELAND PREPARATORY SCHOOL,Ohio,University of Cleveland Preparatory School,Cuyahoga County,44103,Cleveland,307,–,–,–,11,27.91
UPPER ARLINGTON HIGH SCHOOL,Ohio,Upper Arlington City,Franklin County,43221,Upper Arlington,1875,–,–,–,110.6,16.95
UPPER SANDUSKY HIGH SCHOOL,Ohio,Upper Sandusky Exempted Village,Wyandot County,43351,Upper Sandusky,530,108,35,143,29.48,17.98
UPPER SANDUSKY MIDDLE SCHOOL,Ohio,Upper Sandusky Exempted Village,Wyandot County,43351,Upper Sandusky,541,136,45,181,31.42,17.22
UPPER SCIOTO VALLEY ELEMENTARY SCHOOL,Ohio,Upper Scioto Valley Local,Hardin County,45859,McGuffey,251,–,–,–,17,14.76
UPPER SCIOTO VALLEY HIGH SCHOOL,Ohio,Upper Scioto Valley Local,Hardin County,45859,McGuffey,133,106,24,130,14,9.5
UPPER SCIOTO VALLEY MIDDLE SCHOOL,Ohio,Upper Scioto Valley Local,Hardin County,45859,Mc Guffey,69,–,–,–,0,†
UPPER VALLEY CAREER CENTER,Ohio,Upper Valley Career Center,Miami County,45356,Piqua,0,–,–,–,53,0
URBANA ELEMENTARY SCHOOL,Ohio,Urbana City,Champaign County,43078,Urbana,982,528,96,624,47,20.89
URBANA HIGH SCHOOL,Ohio,Urbana City,Champaign County,43078,Urbana,560,225,58,283,28,20
URBANA JUNIOR HIGH SCHOOL,Ohio,Urbana City,Champaign County,43078,Urbana,485,236,41,277,26,18.65
UTICA ELEMENTARY SCHOOL,Ohio,North Fork Local,Licking County,43080,Utica,395,143,31,174,20.4,19.36
UTICA HIGH SCHOOL,Ohio,North Fork Local,Licking County,43080,Utica,448,–,–,–,28.25,15.86
UTICA MIDDLE SCHOOL,Ohio,North Fork Local,Licking County,43080,Utica,370,249,58,307,22.95,16.12
UTICA SHALE ACADEMY OF OHIO,OHIO,Utica Shale Academy of Ohio,Columbiana County,43945,Salineville,60,7,3,10,3.56,16.85
VALERIE ELEMENTARY SCHOOL,Ohio,Dayton City,Montgomery County,45416,Dayton,533,–,–,–,35,15.23
VALLEY ELEMENTARY SCHOOL,Ohio,Beavercreek City,Greene County,45434,Beavercreek,498,44,10,54,28.2,17.66
VALLEY ELEMENTARY SCHOOL,Ohio,Valley Local,Scioto County,45648,Lucasville,481,199,22,221,16,30.06
VALLEY FORGE ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43229,Columbus,352,–,–,–,20,17.6
VALLEY FORGE ELEMENTARY SCHOOL,Ohio,Huber Heights City,Montgomery County,45424,Huber Heights,564,285,50,335,30.9,18.25
VALLEY FORGE HIGH SCHOOL,Ohio,Parma City,Cuyahoga County,44130,Parma Heights,1458,557,109,666,70.81,20.59
VALLEY HIGH SCHOOL,Ohio,Valley Local,Scioto County,45648,Lucasville,267,86,17,103,19,14.05
VALLEY MIDDLE SCHOOL,Ohio,Valley Local,Scioto County,45648,Lucasville,314,165,15,180,15,20.93
VALLEY STEM+ME2 ACADEMY,OHIO,Valley STEM+ME2 Academy,Mahoning County,44512,Youngstown,199,–,–,–,11.12,17.9
VALLEY VIEW ELEMENTARY SCHOOL,Ohio,Cleveland Municipal,Cuyahoga County,44135,Cleveland,215,–,–,–,16.01,13.43
VALLEY VIEW ELEMENTARY SCHOOL,Ohio,Wadsworth City,Medina County,44281,Wadsworth,369,57,15,72,15.76,23.41
VALLEY VIEW HIGH SCHOOL,Ohio,Valley View Local,Montgomery County,45327,Germantown,521,101,28,129,35.5,14.68
VALLEY VIEW INTERMEDIATE SCHOOL,Ohio,Valley View Local,Montgomery County,45327,Germantown,480,212,59,271,29,16.55
VALLEY VIEW JUNIOR HIGH SCHOOL,Ohio,Valley View Local,Montgomery County,45325,Farmersville,294,52,21,73,19,15.47
VALLEY VIEW PRIMARY SCHOOL,Ohio,Valley View Local,Montgomery County,45327,Germantown,481,–,–,–,27.5,17.49
VALLEY VISTA ELEMENTARY SCHOOL,Ohio,North Royalton City,Cuyahoga County,44133,North Royalton,392,40,5,45,20.33,19.28
VALLEYVIEW ELEMENTARY SCHOOL,Ohio,Columbus City School District,Franklin County,43204,Columbus,265,–,–,–,15,17.67
VAN BUREN ELEMENTARY SCHOOL,Ohio,Van Buren Local,Hancock County,45889,Van Buren,453,64,13,77,31,14.61
VAN BUREN HIGH SCHOOL,Ohio,Van Buren Local,Hancock County,45889,Van Buren,350,72,27,99,17.5,20
VAN BUREN MIDDLE SCHOOL,Ohio,Van Buren Local,Hancock County,45889,Van Buren,270,–,–,–,13,20.77
VAN BUREN MIDDLE SCHOOL,Ohio,Kettering City School District,Montgomery County,45429,Kettering,729,182,41,223,46.82,15.57
VAN CLEVE ELEMENTARY SCHOOL,Ohio,Troy City,Miami County,45373,Troy,339,106,26,132,21.11,16.06
VAN WERT EARLY CHILDHOOD CENTER,Ohio,Van Wert City,Van Wert County,45891,Van Wert,366,122,40,162,16,22.88
VAN WERT ELEMENTARY SCHOOL,Ohio,Van Wert City,Van Wert County,45891,Van Wert,698,287,89,376,44.28,15.76
VAN WERT HIGH SCHOOL,Ohio,Van Wert City,Van Wert County,45891,Van Wert,547,331,120,451,33.28,16.44
VAN WERT MIDDLE SCHOOL,Ohio,Van Wert City,Van Wert County,45891,Van Wert,472,–,–,–,30.85,15.3
VANGORDEN ELEMENTARY SCHOOL,Ohio,Lakota Local,Butler County,45011,Liberty Township,551,31,5,36,24,22.96
VANGUARD TECH CENTER,Ohio,Vanguard-Sentinel Career & Technology Centers,Sandusky County,43420,Fremont,0,–,–,–,27,0
